"","tool","run","parameter","moment","value"
"4204","nm7","136","THETA1","prse",NA
"4205","nm7","136","THETA2","estimate","24.9519"
"4206","nm7","136","THETA2","prse",NA
"4207","nm7","136","THETA3","estimate","0.0755475"
"4208","nm7","136","THETA3","prse",NA
"4209","nm7","136","THETA4","estimate","4.22026"
"4210","nm7","136","THETA4","prse",NA
"4211","nm7","136","THETA5","estimate","113.754"
"4212","nm7","136","THETA5","prse",NA
"4213","nm7","136","THETA6","estimate","1.08022"
"4214","nm7","136","THETA6","prse",NA
"4215","nm7","136","THETA7","estimate","1.92027"
"4216","nm7","136","THETA7","prse",NA
"4217","nm7","137","prob","text","137 phase1 2 CMT like 1004 but diff. initial on V3"
"4218","nm7","137","min","status","0"
"4219","nm7","137","ofv","estimate","2405.41922718914"
"4220","nm7","137","OMEGA1.1","estimate","0.198299"
"4221","nm7","137","OMEGA1.1","prse",NA
"4222","nm7","137","OMEGA2.1","estimate","0"
"4223","nm7","137","OMEGA2.1","prse",NA
"4224","nm7","137","OMEGA2.2","estimate","0.110917"
"4225","nm7","137","OMEGA2.2","prse",NA
"4226","nm7","137","OMEGA3.1","estimate","0"
"4227","nm7","137","OMEGA3.1","prse",NA
"4228","nm7","137","OMEGA3.2","estimate","0"
"4229","nm7","137","OMEGA3.2","prse",NA
"4230","nm7","137","OMEGA3.3","estimate","0.124873"
"4231","nm7","137","OMEGA3.3","prse",NA
"4232","nm7","137","SIGMA1.1","estimate","0.0683074"
"4233","nm7","137","SIGMA1.1","prse",NA
"4234","nm7","137","THETA1","estimate","9.34253"
"4235","nm7","137","THETA1","prse",NA
"4236","nm7","137","THETA2","estimate","22.9762"
"4237","nm7","137","THETA2","prse",NA
"4238","nm7","137","THETA3","estimate","0.0761325"
"4239","nm7","137","THETA3","prse",NA
"4240","nm7","137","THETA4","estimate","5.0659"
"4241","nm7","137","THETA4","prse",NA
"4242","nm7","137","THETA5","estimate","102.165"
"4243","nm7","137","THETA5","prse",NA
"4244","nm7","137","THETA6","estimate","0.858613"
"4245","nm7","137","THETA6","prse",NA
"4246","nm7","137","THETA7","estimate","2.06127"
"4247","nm7","137","THETA7","prse",NA
"4248","nm7","138","prob","text","138 phase1 2 CMT like 1004 but diff. initial on V3"
"4249","nm7","138","min","status","0"
"4250","nm7","138","ofv","estimate","2407.02493539419"
"4251","nm7","138","OMEGA1.1","estimate","0.175289"
"4252","nm7","138","OMEGA1.1","prse",NA
"4253","nm7","138","OMEGA2.1","estimate","0"
"4254","nm7","138","OMEGA2.1","prse",NA
"4255","nm7","138","OMEGA2.2","estimate","0.153992"
"4256","nm7","138","OMEGA2.2","prse",NA
"4257","nm7","138","OMEGA3.1","estimate","0"
"4258","nm7","138","OMEGA3.1","prse",NA
"4259","nm7","138","OMEGA3.2","estimate","0"
"4260","nm7","138","OMEGA3.2","prse",NA
"4261","nm7","138","OMEGA3.3","estimate","0.0892072"
"4262","nm7","138","OMEGA3.3","prse",NA
"4263","nm7","138","SIGMA1.1","estimate","0.0677174"
"4264","nm7","138","SIGMA1.1","prse",NA
"4265","nm7","138","THETA1","estimate","8.76089"
"4266","nm7","138","THETA1","prse",NA
"4267","nm7","138","THETA2","estimate","22.0837"
"4268","nm7","138","THETA2","prse",NA
"4269","nm7","138","THETA3","estimate","0.0680433"
"4270","nm7","138","THETA3","prse",NA
"4271","nm7","138","THETA4","estimate","3.64668"
"4272","nm7","138","THETA4","prse",NA
"4273","nm7","138","THETA5","estimate","110.985"
"4274","nm7","138","THETA5","prse",NA
"4275","nm7","138","THETA6","estimate","0.953893"
"4276","nm7","138","THETA6","prse",NA
"4277","nm7","138","THETA7","estimate","1.83824"
"4278","nm7","138","THETA7","prse",NA
"4279","nm7","139","prob","text","139 phase1 2 CMT like 1004 but diff. initial on V3"
"4280","nm7","139","min","status","0"
"4281","nm7","139","ofv","estimate","2503.13159955947"
"4282","nm7","139","OMEGA1.1","estimate","0.184881"
"4283","nm7","139","OMEGA1.1","prse",NA
"4284","nm7","139","OMEGA2.1","estimate","0"
"4285","nm7","139","OMEGA2.1","prse",NA
"4286","nm7","139","OMEGA2.2","estimate","0.103948"
"4287","nm7","139","OMEGA2.2","prse",NA
"4288","nm7","139","OMEGA3.1","estimate","0"
"4289","nm7","139","OMEGA3.1","prse",NA
"4290","nm7","139","OMEGA3.2","estimate","0"
"4291","nm7","139","OMEGA3.2","prse",NA
"4292","nm7","139","OMEGA3.3","estimate","0.0725464"
"4293","nm7","139","OMEGA3.3","prse",NA
"4294","nm7","139","SIGMA1.1","estimate","0.064164"
"4295","nm7","139","SIGMA1.1","prse",NA
"4296","nm7","139","THETA1","estimate","8.73922"
"4297","nm7","139","THETA1","prse",NA
"4298","nm7","139","THETA2","estimate","21.6791"
"4299","nm7","139","THETA2","prse",NA
"4300","nm7","139","THETA3","estimate","0.0751761"
"4301","nm7","139","THETA3","prse",NA
"4302","nm7","139","THETA4","estimate","3.89124"
"4303","nm7","139","THETA4","prse",NA
"4304","nm7","139","THETA5","estimate","102.751"
"4305","nm7","139","THETA5","prse",NA
"4306","nm7","139","THETA6","estimate","0.925778"
"4307","nm7","139","THETA6","prse",NA
"4308","nm7","139","THETA7","estimate","1.29422"
"4309","nm7","139","THETA7","prse",NA
"4310","nm7","140","prob","text","140 phase1 2 CMT like 1004 but diff. initial on V3"
"4311","nm7","140","min","status","0"
"4312","nm7","140","ofv","estimate","2411.91764105736"
"4313","nm7","140","OMEGA1.1","estimate","0.110691"
"4314","nm7","140","OMEGA1.1","prse",NA
"4315","nm7","140","OMEGA2.1","estimate","0"
"4316","nm7","140","OMEGA2.1","prse",NA
"4317","nm7","140","OMEGA2.2","estimate","0.0953479"
"4318","nm7","140","OMEGA2.2","prse",NA
"4319","nm7","140","OMEGA3.1","estimate","0"
"4320","nm7","140","OMEGA3.1","prse",NA
"4321","nm7","140","OMEGA3.2","estimate","0"
"4322","nm7","140","OMEGA3.2","prse",NA
"4323","nm7","140","OMEGA3.3","estimate","0.18853"
"4324","nm7","140","OMEGA3.3","prse",NA
"4325","nm7","140","SIGMA1.1","estimate","0.0615953"
"4326","nm7","140","SIGMA1.1","prse",NA
"4327","nm7","140","THETA1","estimate","8.2113"
"4328","nm7","140","THETA1","prse",NA
"4329","nm7","140","THETA2","estimate","22.228"
"4330","nm7","140","THETA2","prse",NA
"4331","nm7","140","THETA3","estimate","0.0789445"
"4332","nm7","140","THETA3","prse",NA
"4333","nm7","140","THETA4","estimate","4.1052"
"4334","nm7","140","THETA4","prse",NA
"4335","nm7","140","THETA5","estimate","88.3423"
"4336","nm7","140","THETA5","prse",NA
"4337","nm7","140","THETA6","estimate","0.924021"
"4338","nm7","140","THETA6","prse",NA
"4339","nm7","140","THETA7","estimate","1.51128"
"4340","nm7","140","THETA7","prse",NA
"4341","nm7","141","prob","text","141 phase1 2 CMT like 1004 but diff. initial on V3"
"4342","nm7","141","min","status","0"
"4343","nm7","141","ofv","estimate","2404.42389112489"
"4344","nm7","141","OMEGA1.1","estimate","0.186912"
"4345","nm7","141","OMEGA1.1","prse",NA
"4346","nm7","141","OMEGA2.1","estimate","0"
"4347","nm7","141","OMEGA2.1","prse",NA
"4348","nm7","141","OMEGA2.2","estimate","0.121571"
"4349","nm7","141","OMEGA2.2","prse",NA
"4350","nm7","141","OMEGA3.1","estimate","0"
"4351","nm7","141","OMEGA3.1","prse",NA
"4352","nm7","141","OMEGA3.2","estimate","0"
"4353","nm7","141","OMEGA3.2","prse",NA
"4354","nm7","141","OMEGA3.3","estimate","0.113849"
"4355","nm7","141","OMEGA3.3","prse",NA
"4356","nm7","141","SIGMA1.1","estimate","0.0697165"
"4357","nm7","141","SIGMA1.1","prse",NA
"4358","nm7","141","THETA1","estimate","8.8356"
"4359","nm7","141","THETA1","prse",NA
"4360","nm7","141","THETA2","estimate","23.7641"
"4361","nm7","141","THETA2","prse",NA
"4362","nm7","141","THETA3","estimate","0.0711807"
"4363","nm7","141","THETA3","prse",NA
"4364","nm7","141","THETA4","estimate","4.3049"
"4365","nm7","141","THETA4","prse",NA
"4366","nm7","141","THETA5","estimate","112.211"
"4367","nm7","141","THETA5","prse",NA
"4368","nm7","141","THETA6","estimate","0.941742"
"4369","nm7","141","THETA6","prse",NA
"4370","nm7","141","THETA7","estimate","1.43328"
"4371","nm7","141","THETA7","prse",NA
"4372","nm7","142","prob","text","142 phase1 2 CMT like 1004 but diff. initial on V3"
"4373","nm7","142","min","status","0"
"4374","nm7","142","ofv","estimate","2946.79478295405"
"4375","nm7","142","OMEGA1.1","estimate","0.281315"
"4376","nm7","142","OMEGA1.1","prse",NA
"4377","nm7","142","OMEGA2.1","estimate","0"
"4378","nm7","142","OMEGA2.1","prse",NA
"4379","nm7","142","OMEGA2.2","estimate","0.0612507"
"4380","nm7","142","OMEGA2.2","prse",NA
"4381","nm7","142","OMEGA3.1","estimate","0"
"4382","nm7","142","OMEGA3.1","prse",NA
"4383","nm7","142","OMEGA3.2","estimate","0"
"4384","nm7","142","OMEGA3.2","prse",NA
"4385","nm7","142","OMEGA3.3","estimate","0.104598"
"4386","nm7","142","OMEGA3.3","prse",NA
"4387","nm7","142","SIGMA1.1","estimate","0.0583071"
"4388","nm7","142","SIGMA1.1","prse",NA
"4389","nm7","142","THETA1","estimate","7.36358"
"4390","nm7","142","THETA1","prse",NA
"4391","nm7","142","THETA2","estimate","22.1059"
"4392","nm7","142","THETA2","prse",NA
"4393","nm7","142","THETA3","estimate","0.0677309"
"4394","nm7","142","THETA3","prse",NA
"4395","nm7","142","THETA4","estimate","3.42954"
"4396","nm7","142","THETA4","prse",NA
"4397","nm7","142","THETA5","estimate","112.996"
"4398","nm7","142","THETA5","prse",NA
"4399","nm7","142","THETA6","estimate","1.28458"
"4400","nm7","142","THETA6","prse",NA
"4401","nm7","142","THETA7","estimate","1.67967"
"4402","nm7","142","THETA7","prse",NA
"4403","nm7","143","prob","text","143 phase1 2 CMT like 1004 but diff. initial on V3"
"4404","nm7","143","min","status","0"
"4405","nm7","143","ofv","estimate","2405.43805433982"
"4406","nm7","143","OMEGA1.1","estimate","0.246971"
"4407","nm7","143","OMEGA1.1","prse",NA
"4408","nm7","143","OMEGA2.1","estimate","0"
"4409","nm7","143","OMEGA2.1","prse",NA
"4410","nm7","143","OMEGA2.2","estimate","0.082231"
"4411","nm7","143","OMEGA2.2","prse",NA
"4412","nm7","143","OMEGA3.1","estimate","0"
"4413","nm7","143","OMEGA3.1","prse",NA
"4414","nm7","143","OMEGA3.2","estimate","0"
"4415","nm7","143","OMEGA3.2","prse",NA
"4416","nm7","143","OMEGA3.3","estimate","0.106926"
"4417","nm7","143","OMEGA3.3","prse",NA
"4418","nm7","143","SIGMA1.1","estimate","0.060673"
"4419","nm7","143","SIGMA1.1","prse",NA
"4420","nm7","143","THETA1","estimate","8.59242"
"4421","nm7","143","THETA1","prse",NA
"4422","nm7","143","THETA2","estimate","20.6131"
"4423","nm7","143","THETA2","prse",NA
"4424","nm7","143","THETA3","estimate","0.0734173"
"4425","nm7","143","THETA3","prse",NA
"4426","nm7","143","THETA4","estimate","3.6487"
"4427","nm7","143","THETA4","prse",NA
"4428","nm7","143","THETA5","estimate","113.183"
"4429","nm7","143","THETA5","prse",NA
"4430","nm7","143","THETA6","estimate","1.15454"
"4431","nm7","143","THETA6","prse",NA
"4432","nm7","143","THETA7","estimate","0.913224"
"4433","nm7","143","THETA7","prse",NA
"4434","nm7","144","prob","text","144 phase1 2 CMT like 1004 but diff. initial on V3"
"4435","nm7","144","min","status","0"
"4436","nm7","144","ofv","estimate","2732.99477162704"
"4437","nm7","144","OMEGA1.1","estimate","0.140108"
"4438","nm7","144","OMEGA1.1","prse",NA
"4439","nm7","144","OMEGA2.1","estimate","0"
"4440","nm7","144","OMEGA2.1","prse",NA
"4441","nm7","144","OMEGA2.2","estimate","0.150562"
"4442","nm7","144","OMEGA2.2","prse",NA
"4443","nm7","144","OMEGA3.1","estimate","0"
"4444","nm7","144","OMEGA3.1","prse",NA
"4445","nm7","144","OMEGA3.2","estimate","0"
"4446","nm7","144","OMEGA3.2","prse",NA
"4447","nm7","144","OMEGA3.3","estimate","0.0705673"
"4448","nm7","144","OMEGA3.3","prse",NA
"4449","nm7","144","SIGMA1.1","estimate","0.0589712"
"4450","nm7","144","SIGMA1.1","prse",NA
"4451","nm7","144","THETA1","estimate","8.98595"
"4452","nm7","144","THETA1","prse",NA
"4453","nm7","144","THETA2","estimate","22.6398"
"4454","nm7","144","THETA2","prse",NA
"4455","nm7","144","THETA3","estimate","0.0745537"
"4456","nm7","144","THETA3","prse",NA
"4457","nm7","144","THETA4","estimate","3.5027"
"4458","nm7","144","THETA4","prse",NA
"4459","nm7","144","THETA5","estimate","105.465"
"4460","nm7","144","THETA5","prse",NA
"4461","nm7","144","THETA6","estimate","1.1569"
"4462","nm7","144","THETA6","prse",NA
"4463","nm7","144","THETA7","estimate","1.56423"
"4464","nm7","144","THETA7","prse",NA
"4465","nm7","145","prob","text","145 phase1 2 CMT like 1004 but diff. initial on V3"
"4466","nm7","145","min","status","0"
"4467","nm7","145","ofv","estimate","2459.85053897557"
"4468","nm7","145","OMEGA1.1","estimate","0.114927"
"4469","nm7","145","OMEGA1.1","prse",NA
"4470","nm7","145","OMEGA2.1","estimate","0"
"4471","nm7","145","OMEGA2.1","prse",NA
"4472","nm7","145","OMEGA2.2","estimate","0.0991693"
"4473","nm7","145","OMEGA2.2","prse",NA
"4474","nm7","145","OMEGA3.1","estimate","0"
"4475","nm7","145","OMEGA3.1","prse",NA
"4476","nm7","145","OMEGA3.2","estimate","0"
"4477","nm7","145","OMEGA3.2","prse",NA
"4478","nm7","145","OMEGA3.3","estimate","0.162766"
"4479","nm7","145","OMEGA3.3","prse",NA
"4480","nm7","145","SIGMA1.1","estimate","0.0599547"
"4481","nm7","145","SIGMA1.1","prse",NA
"4482","nm7","145","THETA1","estimate","7.84238"
"4483","nm7","145","THETA1","prse",NA
"4484","nm7","145","THETA2","estimate","22.5624"
"4485","nm7","145","THETA2","prse",NA
"4486","nm7","145","THETA3","estimate","0.0785827"
"4487","nm7","145","THETA3","prse",NA
"4488","nm7","145","THETA4","estimate","4.6069"
"4489","nm7","145","THETA4","prse",NA
"4490","nm7","145","THETA5","estimate","99.2943"
"4491","nm7","145","THETA5","prse",NA
"4492","nm7","145","THETA6","estimate","1.04153"
"4493","nm7","145","THETA6","prse",NA
"4494","nm7","145","THETA7","estimate","1.56124"
"4495","nm7","145","THETA7","prse",NA
"4496","nm7","146","prob","text","146 phase1 2 CMT like 1004 but diff. initial on V3"
"4497","nm7","146","min","status","0"
"4498","nm7","146","ofv","estimate","2398.29375377271"
"4499","nm7","146","OMEGA1.1","estimate","0.147649"
"4500","nm7","146","OMEGA1.1","prse",NA
"4501","nm7","146","OMEGA2.1","estimate","0"
"4502","nm7","146","OMEGA2.1","prse",NA
"4503","nm7","146","OMEGA2.2","estimate","0.140194"
"4504","nm7","146","OMEGA2.2","prse",NA
"4505","nm7","146","OMEGA3.1","estimate","0"
"4506","nm7","146","OMEGA3.1","prse",NA
"4507","nm7","146","OMEGA3.2","estimate","0"
"4508","nm7","146","OMEGA3.2","prse",NA
"4509","nm7","146","OMEGA3.3","estimate","0.141221"
"4510","nm7","146","OMEGA3.3","prse",NA
"4511","nm7","146","SIGMA1.1","estimate","0.0646493"
"4512","nm7","146","SIGMA1.1","prse",NA
"4513","nm7","146","THETA1","estimate","7.49793"
"4514","nm7","146","THETA1","prse",NA
"4515","nm7","146","THETA2","estimate","19.6512"
"4516","nm7","146","THETA2","prse",NA
"4517","nm7","146","THETA3","estimate","0.0643285"
"4518","nm7","146","THETA3","prse",NA
"4519","nm7","146","THETA4","estimate","3.65024"
"4520","nm7","146","THETA4","prse",NA
"4521","nm7","146","THETA5","estimate","108.695"
"4522","nm7","146","THETA5","prse",NA
"4523","nm7","146","THETA6","estimate","1.05864"
"4524","nm7","146","THETA6","prse",NA
"4525","nm7","146","THETA7","estimate","1.55101"
"4526","nm7","146","THETA7","prse",NA
"4527","nm7","147","prob","text","147 phase1 2 CMT like 1004 but diff. initial on V3"
"4528","nm7","147","min","status","0"
"4529","nm7","147","ofv","estimate","2324.89827702829"
"4530","nm7","147","OMEGA1.1","estimate","0.10527"
"4531","nm7","147","OMEGA1.1","prse",NA
"4532","nm7","147","OMEGA2.1","estimate","0"
"4533","nm7","147","OMEGA2.1","prse",NA
"4534","nm7","147","OMEGA2.2","estimate","0.158444"
"4535","nm7","147","OMEGA2.2","prse",NA
"4536","nm7","147","OMEGA3.1","estimate","0"
"4537","nm7","147","OMEGA3.1","prse",NA
"4538","nm7","147","OMEGA3.2","estimate","0"
"4539","nm7","147","OMEGA3.2","prse",NA
"4540","nm7","147","OMEGA3.3","estimate","0.13649"
"4541","nm7","147","OMEGA3.3","prse",NA
"4542","nm7","147","SIGMA1.1","estimate","0.0757507"
"4543","nm7","147","SIGMA1.1","prse",NA
"4544","nm7","147","THETA1","estimate","9.39633"
"4545","nm7","147","THETA1","prse",NA
"4546","nm7","147","THETA2","estimate","20.3041"
"4547","nm7","147","THETA2","prse",NA
"4548","nm7","147","THETA3","estimate","0.063867"
"4549","nm7","147","THETA3","prse",NA
"4550","nm7","147","THETA4","estimate","3.74733"
"4551","nm7","147","THETA4","prse",NA
"4552","nm7","147","THETA5","estimate","134.864"
"4553","nm7","147","THETA5","prse",NA
"4554","nm7","147","THETA6","estimate","0.744617"
"4555","nm7","147","THETA6","prse",NA
"4556","nm7","147","THETA7","estimate","1.70433"
"4557","nm7","147","THETA7","prse",NA
"4558","nm7","148","prob","text","148 phase1 2 CMT like 1004 but diff. initial on V3"
"4559","nm7","148","min","status","0"
"4560","nm7","148","ofv","estimate","2528.69752720987"
"4561","nm7","148","OMEGA1.1","estimate","0.179598"
"4562","nm7","148","OMEGA1.1","prse",NA
"4563","nm7","148","OMEGA2.1","estimate","0"
"4564","nm7","148","OMEGA2.1","prse",NA
"4565","nm7","148","OMEGA2.2","estimate","0.102409"
"4566","nm7","148","OMEGA2.2","prse",NA
"4567","nm7","148","OMEGA3.1","estimate","0"
"4568","nm7","148","OMEGA3.1","prse",NA
"4569","nm7","148","OMEGA3.2","estimate","0"
"4570","nm7","148","OMEGA3.2","prse",NA
"4571","nm7","148","OMEGA3.3","estimate","0.147467"
"4572","nm7","148","OMEGA3.3","prse",NA
"4573","nm7","148","SIGMA1.1","estimate","0.0573029"
"4574","nm7","148","SIGMA1.1","prse",NA
"4575","nm7","148","THETA1","estimate","8.5629"
"4576","nm7","148","THETA1","prse",NA
"4577","nm7","148","THETA2","estimate","24.2117"
"4578","nm7","148","THETA2","prse",NA
"4579","nm7","148","THETA3","estimate","0.0770584"
"4580","nm7","148","THETA3","prse",NA
"4581","nm7","148","THETA4","estimate","4.79517"
"4582","nm7","148","THETA4","prse",NA
"4583","nm7","148","THETA5","estimate","114.489"
"4584","nm7","148","THETA5","prse",NA
"4585","nm7","148","THETA6","estimate","0.920069"
"4586","nm7","148","THETA6","prse",NA
"4587","nm7","148","THETA7","estimate","1.60928"
"4588","nm7","148","THETA7","prse",NA
"4589","nm7","149","prob","text","149 phase1 2 CMT like 1004 but diff. initial on V3"
"4590","nm7","149","min","status","0"
"4591","nm7","149","ofv","estimate","2292.5679114821"
"4592","nm7","149","OMEGA1.1","estimate","0.203977"
"4593","nm7","149","OMEGA1.1","prse",NA
"4594","nm7","149","OMEGA2.1","estimate","0"
"4595","nm7","149","OMEGA2.1","prse",NA
"4596","nm7","149","OMEGA2.2","estimate","0.103735"
"4597","nm7","149","OMEGA2.2","prse",NA
"4598","nm7","149","OMEGA3.1","estimate","0"
"4599","nm7","149","OMEGA3.1","prse",NA
"4600","nm7","149","OMEGA3.2","estimate","0"
"4601","nm7","149","OMEGA3.2","prse",NA
"4602","nm7","149","OMEGA3.3","estimate","0.123837"
"4603","nm7","149","OMEGA3.3","prse",NA
"4604","nm7","149","SIGMA1.1","estimate","0.0580363"
"4605","nm7","149","SIGMA1.1","prse",NA
"4606","nm7","149","THETA1","estimate","8.31228"
"4607","nm7","149","THETA1","prse",NA
"4608","nm7","149","THETA2","estimate","24.2887"
"4609","nm7","149","THETA2","prse",NA
"4610","nm7","149","THETA3","estimate","0.0696577"
"4611","nm7","149","THETA3","prse",NA
"4612","nm7","149","THETA4","estimate","3.62492"
"4613","nm7","149","THETA4","prse",NA
"4614","nm7","149","THETA5","estimate","123.324"
"4615","nm7","149","THETA5","prse",NA
"4616","nm7","149","THETA6","estimate","1.21256"
"4617","nm7","149","THETA6","prse",NA
"4618","nm7","149","THETA7","estimate","1.58746"
"4619","nm7","149","THETA7","prse",NA
"4620","nm7","150","prob","text","150 phase1 2 CMT like 1004 but diff. initial on V3"
"4621","nm7","150","min","status","0"
"4622","nm7","150","ofv","estimate","2451.68494295907"
"4623","nm7","150","OMEGA1.1","estimate","0.227433"
"4624","nm7","150","OMEGA1.1","prse",NA
"4625","nm7","150","OMEGA2.1","estimate","0"
"4626","nm7","150","OMEGA2.1","prse",NA
"4627","nm7","150","OMEGA2.2","estimate","0.14601"
"4628","nm7","150","OMEGA2.2","prse",NA
"4629","nm7","150","OMEGA3.1","estimate","0"
"4630","nm7","150","OMEGA3.1","prse",NA
"4631","nm7","150","OMEGA3.2","estimate","0"
"4632","nm7","150","OMEGA3.2","prse",NA
"4633","nm7","150","OMEGA3.3","estimate","0.0928218"
"4634","nm7","150","OMEGA3.3","prse",NA
"4635","nm7","150","SIGMA1.1","estimate","0.0747774"
"4636","nm7","150","SIGMA1.1","prse",NA
"4637","nm7","150","THETA1","estimate","8.81182"
"4638","nm7","150","THETA1","prse",NA
"4639","nm7","150","THETA2","estimate","19.0291"
"4640","nm7","150","THETA2","prse",NA
"4641","nm7","150","THETA3","estimate","0.0606843"
"4642","nm7","150","THETA3","prse",NA
"4643","nm7","150","THETA4","estimate","3.06471"
"4644","nm7","150","THETA4","prse",NA
"4645","nm7","150","THETA5","estimate","102.066"
"4646","nm7","150","THETA5","prse",NA
"4647","nm7","150","THETA6","estimate","1.17761"
"4648","nm7","150","THETA6","prse",NA
"4649","nm7","150","THETA7","estimate","1.02991"
"4650","nm7","150","THETA7","prse",NA
"4651","nm7","151","prob","text","151 phase1 2 CMT like 1004 but diff. initial on V3"
"4652","nm7","151","min","status","0"
"4653","nm7","151","ofv","estimate","2967.22235988683"
"4654","nm7","151","OMEGA1.1","estimate","0.211763"
"4655","nm7","151","OMEGA1.1","prse",NA
"4656","nm7","151","OMEGA2.1","estimate","0"
"4657","nm7","151","OMEGA2.1","prse",NA
"4658","nm7","151","OMEGA2.2","estimate","0.0914392"
"4659","nm7","151","OMEGA2.2","prse",NA
"4660","nm7","151","OMEGA3.1","estimate","0"
"4661","nm7","151","OMEGA3.1","prse",NA
"4662","nm7","151","OMEGA3.2","estimate","0"
"4663","nm7","151","OMEGA3.2","prse",NA
"4664","nm7","151","OMEGA3.3","estimate","0.107486"
"4665","nm7","151","OMEGA3.3","prse",NA
"4666","nm7","151","SIGMA1.1","estimate","0.0619185"
"4667","nm7","151","SIGMA1.1","prse",NA
"4668","nm7","151","THETA1","estimate","8.63255"
"4669","nm7","151","THETA1","prse",NA
"4670","nm7","151","THETA2","estimate","22.6816"
"4671","nm7","151","THETA2","prse",NA
"4672","nm7","151","THETA3","estimate","0.0714357"
"4673","nm7","151","THETA3","prse",NA
"4674","nm7","151","THETA4","estimate","3.83683"
"4675","nm7","151","THETA4","prse",NA
"4676","nm7","151","THETA5","estimate","118.5"
"4677","nm7","151","THETA5","prse",NA
"4678","nm7","151","THETA6","estimate","1.05304"
"4679","nm7","151","THETA6","prse",NA
"4680","nm7","151","THETA7","estimate","1.50972"
"4681","nm7","151","THETA7","prse",NA
"4682","nm7","152","prob","text","152 phase1 2 CMT like 1004 but diff. initial on V3"
"4683","nm7","152","min","status","0"
"4684","nm7","152","ofv","estimate","2623.00242724734"
"4685","nm7","152","OMEGA1.1","estimate","0.226076"
"4686","nm7","152","OMEGA1.1","prse",NA
"4687","nm7","152","OMEGA2.1","estimate","0"
"4688","nm7","152","OMEGA2.1","prse",NA
"4689","nm7","152","OMEGA2.2","estimate","0.141391"
"4690","nm7","152","OMEGA2.2","prse",NA
"4691","nm7","152","OMEGA3.1","estimate","0"
"4692","nm7","152","OMEGA3.1","prse",NA
"4693","nm7","152","OMEGA3.2","estimate","0"
"4694","nm7","152","OMEGA3.2","prse",NA
"4695","nm7","152","OMEGA3.3","estimate","0.133753"
"4696","nm7","152","OMEGA3.3","prse",NA
"4697","nm7","152","SIGMA1.1","estimate","0.0636237"
"4698","nm7","152","SIGMA1.1","prse",NA
"4699","nm7","152","THETA1","estimate","8.65523"
"4700","nm7","152","THETA1","prse",NA
"4701","nm7","152","THETA2","estimate","21.0521"
"4702","nm7","152","THETA2","prse",NA
"4703","nm7","152","THETA3","estimate","0.0677148"
"4704","nm7","152","THETA3","prse",NA
"4705","nm7","152","THETA4","estimate","3.78713"
"4706","nm7","152","THETA4","prse",NA
"4707","nm7","152","THETA5","estimate","110.907"
"4708","nm7","152","THETA5","prse",NA
"4709","nm7","152","THETA6","estimate","0.988084"
"4710","nm7","152","THETA6","prse",NA
"4711","nm7","152","THETA7","estimate","1.6998"
"4712","nm7","152","THETA7","prse",NA
"4713","nm7","153","prob","text","153 phase1 2 CMT like 1004 but diff. initial on V3"
"4714","nm7","153","min","status","0"
"4715","nm7","153","ofv","estimate","2666.83144654913"
"4716","nm7","153","OMEGA1.1","estimate","0.186619"
"4717","nm7","153","OMEGA1.1","prse",NA
"4718","nm7","153","OMEGA2.1","estimate","0"
"4719","nm7","153","OMEGA2.1","prse",NA
"4720","nm7","153","OMEGA2.2","estimate","0.0910263"
"4721","nm7","153","OMEGA2.2","prse",NA
"4722","nm7","153","OMEGA3.1","estimate","0"
"4723","nm7","153","OMEGA3.1","prse",NA
"4724","nm7","153","OMEGA3.2","estimate","0"
"4725","nm7","153","OMEGA3.2","prse",NA
"4726","nm7","153","OMEGA3.3","estimate","0.0558594"
"4727","nm7","153","OMEGA3.3","prse",NA
"4728","nm7","153","SIGMA1.1","estimate","0.0599215"
"4729","nm7","153","SIGMA1.1","prse",NA
"4730","nm7","153","THETA1","estimate","8.76977"
"4731","nm7","153","THETA1","prse",NA
"4732","nm7","153","THETA2","estimate","22.8386"
"4733","nm7","153","THETA2","prse",NA
"4734","nm7","153","THETA3","estimate","0.0732398"
"4735","nm7","153","THETA3","prse",NA
"4736","nm7","153","THETA4","estimate","3.64984"
"4737","nm7","153","THETA4","prse",NA
"4738","nm7","153","THETA5","estimate","106.286"
"4739","nm7","153","THETA5","prse",NA
"4740","nm7","153","THETA6","estimate","1.16198"
"4741","nm7","153","THETA6","prse",NA
"4742","nm7","153","THETA7","estimate","1.62941"
"4743","nm7","153","THETA7","prse",NA
"4744","nm7","154","prob","text","154 phase1 2 CMT like 1004 but diff. initial on V3"
"4745","nm7","154","min","status","0"
"4746","nm7","154","ofv","estimate","2882.1148059619"
"4747","nm7","154","OMEGA1.1","estimate","0.261252"
"4748","nm7","154","OMEGA1.1","prse",NA
"4749","nm7","154","OMEGA2.1","estimate","0"
"4750","nm7","154","OMEGA2.1","prse",NA
"4751","nm7","154","OMEGA2.2","estimate","0.0952838"
"4752","nm7","154","OMEGA2.2","prse",NA
"4753","nm7","154","OMEGA3.1","estimate","0"
"4754","nm7","154","OMEGA3.1","prse",NA
"4755","nm7","154","OMEGA3.2","estimate","0"
"4756","nm7","154","OMEGA3.2","prse",NA
"4757","nm7","154","OMEGA3.3","estimate","0.0873131"
"4758","nm7","154","OMEGA3.3","prse",NA
"4759","nm7","154","SIGMA1.1","estimate","0.0543875"
